word,probability,group,category,kind,meaning
serbia,0.934845,leave,EP,外国移民,塞尔维亚
albania,0.926223,leave,EP,外国移民,阿尔巴尼亚
turkish,0.920997,leave,EP,外国移民,土耳其人
montenegro,0.914973,leave,EP,外国移民,黑山共和国
deport,0.907955,leave,EP,外国移民,驱逐
asylum,0.899673,leave,EP,外国移民,难民
unskilled,0.899673,leave,EP,外国移民,低技能
visafree,0.899673,leave,EP,外国移民,免签
accession,0.885998,leave,EP,外国移民,入欧
population,0.851118,leave,EP,外国移民,人口
poles,0.831426,leave,EP,外国移民,波兰人
macedonia,0.817642,leave,EP,外国移民,马其顿
illegal,0.817642,leave,EP,外国移民,非法
greece,0.793525,leave,EP,外国移民,希腊
schools,0.945907,leave,EC,接地气,学校
vacuum,0.766795,leave,EC,接地气,吸尘器
bananas,0.899673,leave,EC,接地气,香蕉
retired,0.899673,leave,EC,接地气,退休
bulbs,0.889755,leave,EC,接地气,灯泡
earn,0.889755,leave,EC,接地气,赚钱
champagne,0.87766,leave,EC,接地气,香槟
dinner,0.87766,leave,EC,接地气,晚饭
fish,0.843272,leave,EC,接地气,渔业
gp,0.817642,leave,EC,接地气,医生
jobless,0.817642,leave,EC,接地气,失业
billions,0.87056,leave,EC,拿回权力,数十亿
vat,0.862585,leave,EC,拿回权力,增值税
tariffs,0.79215,leave,EC,拿回权力,关税
lying,0.903992,leave,PC,政治现实,又撒谎
colluding,0.889755,leave,PC,政治现实,勾结
unreformed,0.889755,leave,PC,政治现实,不改革
disgusting,0.87766,leave,PC,负面用词,恶心
join,0.923699,leave,PC,政治现实,加入
shackles,0.87766,leave,PC,政治现实,枷锁
slammed,0.87766,leave,PC,政治现实,抨击
credibility,0.862585,leave,PC,政治现实,可信度
dishonesty,0.862585,leave,PC,政治现实,不诚实
freed,0.862585,leave,PC,政治现实,解放
freely,0.801404,leave,PC,政治现实,自由
restrictions,0.862585,leave,PC,政治现实,限制
lied,0.862585,leave,PC,政治现实,撒谎过
overrule,0.862585,leave,PC,政治现实,凌驾
powerless,0.862585,leave,PC,政治现实,无力
questioned,0.862585,leave,PC,政治现实,可疑
ridiculous,0.862585,leave,PC,负面用词,荒谬
calling,0.843272,leave,PC,负面用词,号召
unaccountable,0.843272,leave,PC,负面用词,不用负责
controversial,0.831426,leave,PC,负面用词,争议
entire,0.817642,leave,PC,负面用词,完全
failing,0.807129,leave,PC,政治现实,失败
blasted,0.801404,leave,PC,负面用词,讨厌的
scare,0.801404,leave,PC,政治现实,恐吓
