id,word,fre,trans
1,he,8.254796252,他
2,we,7.013439813,我们
3,eu,6.874515445,欧盟
5,i,5.535976034,我
7,his,4.145323851,他的
8,leave,4.037769502,离开
10,our,3.809216511,我们的
11,people,3.647884989,人民
12,vote,3.513442053,投票
13,her,3.50447919,她的
15,they,3.46414631,他们
16,who,3.119076108,谁
17,remain,3.08770609,留欧
18,she,3.083224659,她
19,brexit,2.935337429,脱欧
20,referendum,2.912930273,公投
21,you,2.805375925,你
22,britain,2.7874502,英国
23,their,2.769524475,他们的
25,all,2.545452916,全部
26,been,2.518564329,曾经
27,mr,2.451342861,先生
28,cameron,2.348269943,卡梅伦
30,campaign,2.052495485,活动
31,more,2.048014054,更
32,country,2.03456976,国家
34,last,1.989755448,最后
37,can,1.877719669,能够
38,also,1.84634965,也
39,what,1.810498201,什么
40,sun,1.765683889,太阳
41,jo,1.752239595,乔
42,mp,1.720869577,下议院议员
44,cox,1.58194521,考克斯
45,european,1.559538054,欧洲人
46,now,1.496798017,现在
48,two,1.487835155,两个
49,voters,1.487835155,选民
50,think,1.483353724,认为
51,just,1.465427999,只是
52,per,1.456465137,每
54,david,1.42957655,戴维
55,time,1.416132256,时间
56,cent,1.411650825,分
58,minister,1.3937251,部长
59,when,1.353392219,何时
60,british,1.344429357,英国人
61,pm,1.322022201,首相
62,its,1.304096476,它的
63,get,1.295133614,得到
64,today,1.268245027,今天
65,told,1.268245027,告诉
66,london,1.250319302,伦敦
67,year,1.24135644,年份
68,europe,1.218949284,欧洲
69,want,1.178616403,想要
71,first,1.165172109,第一
72,immigration,1.151727816,移民
73,union,1.147246385,联盟
74,make,1.142764953,使
75,your,1.12932066,你的
76,leader,1.106913504,领导
77,night,1.088987779,夜晚
78,should,1.084506348,应该
79,very,1.066580623,非常
80,added,1.044173467,增加
81,prime,1.044173467,首要的
82,result,1.035210605,结果
83,my,1.030729174,我的
84,former,1.01728488,前任
85,some,1.01728488,有些
86,party,1.012803449,党派
87,right,0.994877724,正确
88,stay,0.985914862,保持
89,how,0.981433431,如何
91,day,0.972470568,天
92,call,0.950063412,叫作
94,only,0.945581981,只有
95,johnson,0.945581981,约翰逊
96,tory,0.94110055,保守党员
97,take,0.936619119,采取
98,world,0.932137687,世界
99,news,0.923174825,新闻
100,saying,0.918693394,格言
101,going,0.909730532,走向
103,like,0.9052491,像
104,yesterday,0.900767669,昨天
105,boris,0.887323376,鲍里斯
108,other,0.833546201,其他
110,gove,0.820101908,戈夫
111,where,0.815620477,哪里
112,new,0.815620477,新的
113,brussels,0.815620477,布鲁塞尔
114,decision,0.793213321,决定
115,most,0.788731889,多数
116,morning,0.788731889,早晨
118,government,0.770806165,政府
119,way,0.761843302,途径
120,still,0.757361871,仍
121,online,0.739436146,在线
122,even,0.739436146,甚至
124,know,0.71702899,知道
126,much,0.690140403,很多
127,need,0.685658972,需要
128,own,0.685658972,拥有
129,old,0.67669611,旧
131,pay,0.658770385,偿还
132,control,0.658770385,控制
133,team,0.654288954,团队
134,got,0.654288954,得到
135,farage,0.649807523,法拉奇
136,corbyn,0.645326091,科尔宾
137,economy,0.645326091,经济
139,email,0.636363229,电邮
141,work,0.627400367,工作
142,many,0.627400367,许多
143,political,0.627400367,政治的
144,put,0.627400367,放
145,story,0.622918935,故事
146,next,0.622918935,下一个
147,polling,0.613956073,民调
148,voting,0.600511779,投票
149,see,0.600511779,看见
151,any,0.596030348,任何
152,public,0.596030348,大众
153,both,0.596030348,都
154,part,0.591548917,部分
155,three,0.591548917,三个
156,left,0.587067486,左
158,long,0.582586055,长
159,free,0.582586055,自由
160,together,0.582586055,一起
162,trade,0.578104623,贸易
163,mrs,0.573623192,女士
164,life,0.573623192,生活
165,never,0.573623192,从不
166,hours,0.573623192,小时
168,place,0.56466033,地点
169,change,0.555697468,改变
170,brits,0.555697468,英国人
171,home,0.551216036,家
172,believe,0.546734605,相信
173,final,0.546734605,最终
175,election,0.533290312,选举
176,england,0.52880888,英格兰
177,here,0.52880888,这里
178,east,0.52880888,东
179,parliament,0.524327449,国会
181,twitter,0.524327449,推特
182,future,0.519846018,未来
184,claimed,0.510883156,声称
185,week,0.506401724,周
186,lead,0.501920293,领导
187,such,0.501920293,这样的
188,must,0.501920293,必须
189,close,0.497438862,关闭
190,every,0.497438862,每个
192,thursday,0.492957431,星期四
194,death,0.488476,死亡
195,point,0.483994569,点
196,well,0.479513137,好
197,family,0.479513137,家庭
198,south,0.479513137,南
200,too,0.475031706,也
201,speaking,0.470550275,讲话
202,shot,0.470550275,镜头
203,debate,0.470550275,辩论
204,live,0.470550275,直播
205,great,0.470550275,伟大
206,secretary,0.466068844,秘书
207,police,0.466068844,警察
208,politicians,0.466068844,政客
209,insisted,0.466068844,坚持
210,far,0.461587413,远
211,bbc,0.461587413,英国广播公司
212,democracy,0.461587413,民主
213,children,0.457105981,儿童
214,big,0.457105981,大
215,leadership,0.457105981,领导力
217,hit,0.45262455,打击
220,bank,0.448143119,银行
221,scotland,0.448143119,苏格兰
222,pro,0.443661688,专家
223,murder,0.443661688,谋杀
224,better,0.439180257,更好
226,times,0.434698825,次数
227,why,0.434698825,为什么
228,man,0.434698825,人
